TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.209,1,0.0902,1.2999,-0.0627,0.1803,0.2211,0.3885,0.8762,0.1105,1.3318,-0.0179,0.7115,-0.3943,0.2216,0.5378,0.0902,1.2999,-0.0627,0.1803,0.2211,0.3885,0.8762,0.1105,1.3318,-0.0179,0.7115,-0.3943,0.2216,0.5378,0.1172,1.3664,-0.4292,0.1503,0.1495,0.0530,-0.9758,-0.1203,1.3163,0.0961,0.0104,0.9980,0.0571,0.0233,0,0,0.0000,0,0,0,0,Table Upper Target,0.0001,Table Upper Target
0.219,1,0.0909,1.3006,-0.0641,0.1772,0.2221,0.3845,0.8783,0.1107,1.3318,-0.0197,0.7124,-0.3930,0.2266,0.5354,0.0909,1.3006,-0.0641,0.1772,0.2221,0.3845,0.8783,0.1107,1.3318,-0.0197,0.7124,-0.3930,0.2266,0.5354,0.1171,1.3662,-0.4292,0.1495,0.1501,0.0530,-0.9759,-0.1196,1.3176,0.0990,0.0171,0.9963,0.0809,0.0238,0,0,0.0000,0,0,0,0,Table Upper Target,0.0000,Table Upper Target
0.229,1,0.0915,1.3013,-0.0654,0.1741,0.2230,0.3805,0.8804,0.1110,1.3318,-0.0215,0.7134,-0.3917,0.2315,0.5330,0.0915,1.3013,-0.0654,0.1741,0.2230,0.3805,0.8804,0.1110,1.3318,-0.0215,0.7134,-0.3917,0.2315,0.5330,0.1170,1.3661,-0.4291,0.1486,0.1506,0.0531,-0.9759,-0.1189,1.3187,0.1019,0.0234,0.9941,0.1034,0.0243,0,0,0.0000,0,0,0,0,Table Upper Target,0.0000,Table Upper Target
0.239,1,0.0923,1.3019,-0.0664,0.1744,0.2254,0.3760,0.8817,0.1114,1.3325,-0.0234,0.7116,-0.3915,0.2348,0.5341,0.0923,1.3019,-0.0664,0.1744,0.2254,0.3760,0.8817,0.1114,1.3325,-0.0234,0.7116,-0.3915,0.2348,0.5341,0.1170,1.3660,-0.4290,0.1479,0.1507,0.0530,-0.9760,-0.1182,1.3196,0.1048,0.0293,0.9914,0.1250,0.0246,0,0,0.0000,0,0,0,0,Table Upper Target,0.0000,none
0.249,1,0.0931,1.3025,-0.0675,0.1746,0.2277,0.3713,0.8831,0.1117,1.3329,-0.0253,0.7103,-0.3910,0.2385,0.5345,0.0931,1.3025,-0.0675,0.1746,0.2277,0.3713,0.8831,0.1117,1.3329,-0.0253,0.7103,-0.3910,0.2385,0.5345,0.1170,1.3659,-0.4289,0.1471,0.1509,0.0532,-0.9761,-0.1176,1.3204,0.1075,0.0347,0.9885,0.1453,0.0249,0,0,0.0000,0,0,0,0,Table Upper Target,0.0000,none
0.259,1,0.0936,1.3029,-0.0681,0.1770,0.2294,0.3676,0.8837,0.1120,1.3335,-0.0265,0.7080,-0.3919,0.2399,0.5362,0.0936,1.3029,-0.0681,0.1770,0.2294,0.3676,0.8837,0.1120,1.3335,-0.0265,0.7080,-0.3919,0.2399,0.5362,0.1170,1.3659,-0.4288,0.1465,0.1511,0.0533,-0.9762,-0.1169,1.3210,0.1102,0.0399,0.9852,0.1649,0.0253,0,0,0.0000,0,0,0,0,Table Upper (3),0.0000,none
0.269,1,0.0942,1.3033,-0.0686,0.1793,0.2310,0.3640,0.8843,0.1122,1.3340,-0.0276,0.7062,-0.3926,0.2414,0.5374,0.0942,1.3033,-0.0686,0.1793,0.2310,0.3640,0.8843,0.1122,1.3340,-0.0276,0.7062,-0.3926,0.2414,0.5374,0.1170,1.3658,-0.4288,0.1462,0.1512,0.0533,-0.9762,-0.1164,1.3215,0.1128,0.0448,0.9814,0.1849,0.0242,0,0,0.0000,0,0,0,0,Table Upper (3),0.0000,none
0.279,1,0.0943,1.3035,-0.0688,0.1804,0.2322,0.3623,0.8845,0.1122,1.3342,-0.0282,0.7053,-0.3927,0.2422,0.5382,0.0943,1.3035,-0.0688,0.1804,0.2322,0.3623,0.8845,0.1122,1.3342,-0.0282,0.7053,-0.3927,0.2422,0.5382,0.1170,1.3658,-0.4288,0.1461,0.1511,0.0534,-0.9762,-0.1158,1.3219,0.1152,0.0500,0.9772,0.2052,0.0219,0,0,0.0000,0,0,0,0,Table Upper (3),0.0000,none
0.289,1,0.0945,1.3036,-0.0689,0.1819,0.2335,0.3607,0.8845,0.1122,1.3344,-0.0287,0.7045,-0.3928,0.2429,0.5388,0.0945,1.3036,-0.0689,0.1819,0.2335,0.3607,0.8845,0.1122,1.3344,-0.0287,0.7045,-0.3928,0.2429,0.5388,0.1169,1.3658,-0.4288,0.1461,0.1511,0.0535,-0.9762,-0.1152,1.3222,0.1176,0.0551,0.9727,0.2244,0.0212,0,0,0.0000,0,0,0,0,Table Upper (3),0.0000,none
0.299,1,0.0946,1.3037,-0.0690,0.1837,0.2350,0.3590,0.8844,0.1121,1.3346,-0.0293,0.7038,-0.3928,0.2437,0.5394,0.0946,1.3037,-0.0690,0.1837,0.2350,0.3590,0.8844,0.1121,1.3346,-0.0293,0.7038,-0.3928,0.2437,0.5394,0.1169,1.3659,-0.4288,0.1460,0.1511,0.0537,-0.9762,-0.1147,1.3222,0.1201,0.0596,0.9681,0.2421,0.0238,0,0,0.0000,0,0,0,0,Table Upper (3),0.0000,none
