TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.316,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5208,1.6356,-0.1104,-0.1959,0.4268,-0.0706,-0.8800,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.326,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5202,1.6354,-0.1108,-0.1966,0.4277,-0.0702,-0.8795,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.336,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5198,1.6351,-0.1112,-0.1970,0.4284,-0.0701,-0.8790,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.346,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5195,1.6350,-0.1117,-0.1966,0.4285,-0.0700,-0.8791,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.356,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5192,1.6350,-0.1123,-0.1962,0.4287,-0.0703,-0.8791,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.366,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5187,1.6348,-0.1131,-0.1959,0.4292,-0.0704,-0.8789,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.376,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5182,1.6347,-0.1140,-0.1955,0.4296,-0.0702,-0.8788,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.386,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5178,1.6346,-0.1150,-0.1951,0.4300,-0.0700,-0.8787,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
0.396,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5174,1.6347,-0.1160,-0.1944,0.4300,-0.0697,-0.8789,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,Table Upper Target
0.406,1,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.3198,1.3161,0.2209,-0.1870,0.8562,-0.1966,-0.4397,0.2692,1.3120,0.2213,-0.2058,0.8036,-0.3079,0.4659,0.5171,1.6348,-0.1171,-0.1937,0.4297,-0.0695,-0.8792,-0.1200,0.9327,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,Table Upper Target
